protocol,src-address,src-port,dst-address,dst-port,flow,service,tcp-state,resolved,mark,cc,asn,threat,description,modified,validation_name
tcp,175.103.46.158,59496,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,52986,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,34072,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,58512,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,44208,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,43638,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,32964,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,43668,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,34122,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,54402,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,43732,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,57170,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,58484,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,58018,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,58600,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,33092,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
