protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark
tcp,175.103.46.158,36718,157.240.211.61,443,established,speedtest.c
tcp,175.103.46.158,64278,143.244.33.68,6568,established,
tcp,175.103.46.158,52396,143.244.33.70,80,established,
tcp,43.134.53.107,799,175.103.46.158,45618,established,
udp,175.103.46.158,55183,142.251.175.94,443,,speedtest.c
tcp,43.128.74.37,799,175.103.46.158,44418,established,
tcp,101.32.248.90,799,175.103.46.158,46444,established,
tcp,175.103.46.158,48094,157.240.211.61,443,established,speedtest.c
tcp,175.103.46.158,64488,91.108.56.158,443,established,speedtest.c
tcp,43.134.120.219,799,175.103.46.158,56376,established,
tcp,101.32.248.90,799,175.103.46.158,46782,established,
tcp,74.125.200.188,5228,175.103.46.158,38544,established,speedtest.c
tcp,139.180.158.87,6035,175.103.46.158,54820,established,
tcp,175.103.46.158,58711,20.198.119.143,443,established,speedtest.c
tcp,103.107.198.22,80,175.103.46.158,50125,established,
tcp,43.134.120.219,799,175.103.46.158,55100,established,speedtest.c
tcp,101.32.248.90,799,175.103.46.158,46010,established,
tcp,43.128.74.37,799,175.103.46.158,44788,established,
tcp,175.103.46.158,49038,157.240.13.32,443,established,speedtest.c
tcp,47.241.125.77,7002,175.103.46.158,45972,established,speedtest.c
tcp,43.134.120.219,799,175.103.46.158,55402,established,speedtest.c
tcp,43.134.120.219,799,175.103.46.158,54956,established,speedtest.c
tcp,175.103.46.158,63008,36.67.189.250,443,established,speedtest.c
tcp,157.240.235.60,443,175.103.46.158,64465,established,speedtest.c
tcp,175.103.46.158,54056,157.240.218.61,443,established,speedtest.c
tcp,43.133.45.194,799,175.103.46.158,38858,established,
tcp,175.103.46.158,45430,43.128.74.37,799,established,speedtest.c
tcp,175.103.46.158,58742,157.240.211.61,443,established,speedtest.c
tcp,43.134.120.219,799,175.103.46.158,56396,established,
tcp,175.103.46.158,50418,20.189.173.2,443,established,speedtest.c
tcp,43.128.74.37,799,175.103.46.158,43880,established,
tcp,175.103.46.158,50419,20.189.173.2,443,established,speedtest.c
udp,175.103.46.158,53936,142.251.10.93,443,,speedtest.c
tcp,175.103.46.158,63017,23.216.158.131,80,established,speedtest.c
tcp,43.133.45.194,799,175.103.46.158,51014,established,
tcp,157.240.13.1,443,175.103.46.158,45186,established,speedtest.c
tcp,43.133.45.194,799,175.103.46.158,52120,established,
tcp,43.133.45.194,799,175.103.46.158,51290,established,speedtest.c
tcp,43.128.74.37,799,175.103.46.158,44096,established,
tcp,43.133.45.194,799,175.103.46.158,39828,established,
