{'.id': '*2CE7A8', 'type': 'A', 'data': '205.251.199.83', 'name': 'ns-1875.awsdns-42.co.uk', 'ttl': '14m54s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7A9', 'type': 'A', 'data': '205.251.193.92', 'name': 'ns-348.awsdns-43.com', 'ttl': '14m54s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7AA', 'type': 'A', 'data': '172.67.211.180', 'name': 'www.gamestorrents.tv', 'ttl': '4m24s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7AB', 'type': 'A', 'data': '104.21.93.152', 'name': 'www.gamestorrents.tv', 'ttl': '4m24s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7AC', 'type': 'A', 'data': '172.67.131.44', 'name': 'legittorrents.info', 'ttl': '4m7s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7AD', 'type': 'A', 'data': '104.21.3.204', 'name': 'legittorrents.info', 'ttl': '4m7s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7AE', 'type': 'A', 'data': '172.67.157.140', 'name': 'sitenable.info', 'ttl': '4m18s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7AF', 'type': 'A', 'data': '104.21.50.63', 'name': 'sitenable.info', 'ttl': '4m18s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7B0', 'type': 'A', 'data': '45.76.37.222', 'name': 'ns0.1984.is', 'ttl': '4m3s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7B1', 'type': 'NS', 'data': 'miniplenty.ns.1984.is', 'name': '1984.is', 'ttl': '14m3s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7B2', 'type': 'NS', 'data': 'ns0.1984.is', 'name': '1984.is', 'ttl': '14m3s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7B3', 'type': 'NS', 'data': 'ns1.1984.is', 'name': '1984.is', 'ttl': '14m3s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
