name,data
lb.eu-1-id5-sync.com,141.95.33.111
lb.eu-1-id5-sync.com,141.95.98.65
lb.eu-1-id5-sync.com,162.19.138.116
lb.eu-1-id5-sync.com,162.19.138.117
lb.eu-1-id5-sync.com,162.19.138.83
lb.eu-1-id5-sync.com,162.19.138.118
lb.eu-1-id5-sync.com,162.19.138.120
lb.eu-1-id5-sync.com,162.19.138.82
s0.2mdn.net,74.125.24.148
s0.2mdn.net,74.125.24.149
ssptkr-sg4.pubmnet.com,67.199.150.90
events.brightline.tv,3.33.250.219
grey.erne.co,15.235.42.185
grey.erne.co,148.113.163.139
grey.erne.co,148.113.163.120
grey.erne.co,15.235.10.97
grey.erne.co,148.113.163.140
grey.erne.co,148.113.163.121
grey.erne.co,15.235.10.146
grey.erne.co,15.235.9.202
grey.erne.co,15.235.42.188
grey.erne.co,148.113.163.137
grey.erne.co,15.235.42.192
grey.erne.co,15.235.15.181
grey.erne.co,148.113.163.119
grey.erne.co,15.235.42.189
grey.erne.co,148.113.163.138
grey.erne.co,15.235.9.168
grey.erne.co,15.235.82.86
grey.erne.co,148.113.163.136
router.infolinks.com,172.66.42.247
router.infolinks.com,172.66.41.9
ad.turn.com.akadns.net,50.116.239.135
pixel-us.onaudience.com,15.235.15.221
pixel-us.onaudience.com,51.222.80.231
script.4dex.io,104.26.8.169
script.4dex.io,172.67.75.241
script.4dex.io,104.26.9.169
i.clean.gg,34.95.69.49
cadmus.script.ac,104.18.23.145
cadmus.script.ac,104.18.22.145
dmp.truoptik.com,104.17.216.204
dmp.truoptik.com,104.17.215.204
dmp.truoptik.com,104.17.218.204
dmp.truoptik.com,104.17.217.204
dmp.truoptik.com,104.17.219.204
prod.y-medialink.com,35.186.202.217
sync-unosync-com.geodns.me,185.83.71.234
adventori.com,51.68.38.13
adventori.com,135.125.180.61
adventori.com,135.125.163.195
adventori.com,51.68.38.14
adventori.com,135.125.180.59
adventori.com,135.125.180.60
sync.1rx.io,74.118.186.107
sadc1.outbrain.org,38.133.127.191
t-sin12c.pubmnet.com,207.65.33.74
trace.mediago.io,35.208.249.213
prebid.media.net,34.120.63.153
euw1.smartadserver.com,81.17.55.99
euw1.smartadserver.com,89.149.192.64
euw1.smartadserver.com,81.17.55.98
euw1.smartadserver.com,81.17.55.160
euw1.smartadserver.com,89.149.192.193
euw1.smartadserver.com,89.149.192.192
euw1.smartadserver.com,89.149.192.65
euw1.smartadserver.com,81.17.55.112
euw1.smartadserver.com,81.17.55.113
euw1.smartadserver.com,81.17.55.161
lax-1-sync.go.sonobi.com,72.34.250.75
m.deepintent.com,38.91.45.7
m.deepintent.com,169.197.150.7
m.deepintent.com,8.18.47.7
m.deepintent.com,169.197.150.8
ib.sin1.geoadnxs.com,103.43.90.53
ib.sin1.geoadnxs.com,103.43.90.21
ib.sin1.geoadnxs.com,103.43.90.178
ib.sin1.geoadnxs.com,103.43.90.179
ib.sin1.geoadnxs.com,103.43.90.19
ib.sin1.geoadnxs.com,103.43.90.54
ib.sin1.geoadnxs.com,103.43.90.117
ib.sin1.geoadnxs.com,103.43.89.4
ib.sin1.geoadnxs.com,103.43.90.114
googleads4.g.doubleclick.net,74.125.130.157
googleads4.g.doubleclick.net,74.125.130.155
googleads4.g.doubleclick.net,74.125.130.154
googleads4.g.doubleclick.net,74.125.130.156
beacon-sin1.rubiconproject.net.akadns.net,69.173.158.67
beacons-handoff.gcp.gvt2.com,192.178.49.195
pixel-a.sitescout.com,98.98.134.241
us-u.openx.net,35.244.159.8
us-u.openx.net,34.98.64.218
euw2.smartadserver.com,217.182.178.224
euw2.smartadserver.com,5.135.209.97
euw2.smartadserver.com,5.196.111.64
euw2.smartadserver.com,178.32.210.227
euw2.smartadserver.com,178.32.210.226
euw2.smartadserver.com,5.196.111.65
euw2.smartadserver.com,217.182.178.225
euw2.smartadserver.com,5.135.209.96
pagead2.googlesyndication.com,142.251.10.155
pagead2.googlesyndication.com,142.251.10.154
pagead2.googlesyndication.com,142.251.10.157
pagead2.googlesyndication.com,142.251.10.156
h1tlkvtlb.puzztake.com,207.246.81.7
h1tlkvtlb.puzztake.com,149.28.232.182
