indicator,asn,country_code2,name,description,modified,created
128.201.142.138,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.140.28,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.119,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.140.150,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.167,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.60,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.196,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.140.8,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.41,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.29,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.27,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-07-23T12:04:51.473000,2023-05-27T06:06:26.480000
128.201.142.220,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.5,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
185.120.89.72,AS197152 simstar llc,UA,,,,
128.201.143.172,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.189,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.181,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.52,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.3,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.140.60,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.212,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.202,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.8,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.152,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.125,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.145,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.140.13,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.219,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.141.197,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.216,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.193,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
95.132.166.186,AS6849 pjsc ukrtelecom,UA,,,,
128.201.143.13,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.142.108,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.101,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.235,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.140.90,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.140.199,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.215,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.140.172,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.140.112,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.90,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.159,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.143.184,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.165,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.131,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.140.70,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:May 2023,,2023-06-30T23:02:10.939000,2023-05-01T00:00:23.474000
128.201.141.1,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.140.87,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.140.194,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.140.4,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.111,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.142.46,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.63,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.142.190,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.7,AS266631 enoki & ruiz ltda - me,BR,,,,
46.185.16.204,AS15895 kyivstar pjsc,UA,,,,
128.201.140.108,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.36,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.140.222,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.206,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.140.163,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.46,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.175,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.86,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:May 2023,,2023-06-30T23:02:10.939000,2023-05-01T00:00:23.474000
122.144.1.34,AS38320 pt maxindo mitra solusi,ID,,,,
128.201.141.148,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.130,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.60,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.39,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.33,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.140.176,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.12,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.242,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.73,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.140.67,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.140.134,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-07-23T12:04:51.473000,2023-05-27T06:06:26.480000
128.201.143.227,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.140.242,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.142.145,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.96,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.141.193,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.142.6,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:May 2023,,2023-06-30T23:02:10.939000,2023-05-01T00:00:23.474000
116.14.140.112,AS9506 singtel fibre broadband,SG,,,,
128.201.142.236,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.140.247,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.142.1,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.221,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.142,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.31,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.142.174,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.56,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.140.157,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.208,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
