protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
tcp,43.133.45.194,799,175.103.46.158,52120,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
icmp,175.103.46.158,,175.103.46.157,,local,,,speedtest.c,,,,,
tcp,175.103.46.158,49758,20.198.118.190,443,OUT.bound,established,,speedtest.c,IN,AS8075 microsoft corporation,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000
tcp,43.128.74.37,799,175.103.46.158,44776,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,54390,157.240.15.61,443,OUT.bound,established,,speedtest.c,SG,AS32934 facebook  inc.,,,
udp,175.103.46.158,53914,122.144.2.204,443,OUT.bound,,,speedtest.c,ID,AS38320 pt maxindo mitra solusi,,,
tcp,175.103.46.158,64491,20.198.119.143,443,OUT.bound,established,,speedtest.c,IN,AS8075 microsoft corporation,,,
tcp,43.133.45.194,799,175.103.46.158,51558,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,64538,20.212.88.117,443,OUT.bound,established,,,US,AS8075 microsoft corporation,,,
tcp,175.103.46.158,52476,92.223.85.52,443,OUT.bound,established,,,SG,AS199524 g-core labs s.a.,,,
tcp,43.134.53.107,799,175.103.46.158,46388,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,43.134.120.219,799,175.103.46.158,56422,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,49679,23.106.252.102,443,OUT.bound,established,,,US,AS59253 leaseweb asia pacific pte. ltd.,,,
tcp,175.103.46.158,58042,20.198.119.143,443,OUT.bound,established,,speedtest.c,IN,AS8075 microsoft corporation,,,
tcp,43.134.53.107,799,175.103.46.158,46830,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,47.241.125.77,7002,175.103.46.158,45972,IN.bound,established,,speedtest.c,SG,AS45102 alibaba (us) technology co.  ltd.,,,
tcp,43.134.120.219,799,175.103.46.158,54956,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,43.134.53.107,799,175.103.46.158,45752,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,49098,157.240.199.61,443,OUT.bound,established,,speedtest.c,HK,AS32934 facebook  inc.,,,
tcp,74.125.130.95,443,175.103.46.158,62708,IN.bound,last-ack,,speedtest.c,US,AS15169 google llc,,,
tcp,175.103.46.158,49885,20.198.119.143,443,OUT.bound,established,,speedtest.c,IN,AS8075 microsoft corporation,,,
tcp,175.103.46.158,64278,143.244.33.68,6568,OUT.bound,established,,,SG,AS60068 datacamp limited,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000
udp,175.103.46.158,50311,216.239.38.120,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,Remcos RAT,Remcos (acronym of Remote Control & Surveillance Software) is a Remote Access Software used to remot,2022-10-02T11:03:36.202000
tcp,43.128.118.190,799,175.103.46.158,37538,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,58742,157.240.211.61,443,OUT.bound,established,,speedtest.c,HK,AS32934 facebook  inc.,,,
tcp,175.103.46.158,64497,20.198.119.84,443,OUT.bound,established,,,IN,AS8075 microsoft corporation,,,
tcp,175.103.46.158,50913,162.125.81.17,443,OUT.bound,established,,speedtest.c,SG,AS19679 dropbox  inc.,,,
tcp,43.134.120.219,799,175.103.46.158,55822,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,101.32.248.90,799,175.103.46.158,46444,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,64335,34.208.203.4,8883,OUT.bound,established,,speedtest.c,US,AS16509 amazon.com inc,,,
tcp,43.128.118.190,799,175.103.46.158,38340,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,43.134.120.219,799,175.103.46.158,55402,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,58157,209.58.183.231,6568,OUT.bound,established,,,SG,AS59253 leaseweb asia pacific pte. ltd.,,,
tcp,43.128.118.190,799,175.103.46.158,37556,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,43.198.50.186,23005,175.103.46.158,43774,IN.bound,established,,speedtest.c,US,AS16509 amazon.com inc,,,
tcp,43.134.53.107,799,175.103.46.158,45674,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,43.133.45.194,799,175.103.46.158,51290,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,101.32.248.90,799,175.103.46.158,46010,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,43.128.74.37,799,175.103.46.158,45654,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,49224,74.125.200.95,443,OUT.bound,established,,,,,,,
udp,175.103.46.158,56124,36.86.63.182,3544,OUT.bound,,,speedtest.c,,,,,
tcp,175.103.46.158,58019,36.86.63.182,443,OUT.bound,syn-sent,,,,,,,
tcp,74.125.130.95,443,175.103.46.158,51262,IN.bound,last-ack,,speedtest.c,US,AS15169 google llc,,,
tcp,175.103.46.158,62444,216.239.38.120,443,OUT.bound,time-wait,,speedtest.c,US,AS15169 google llc,Remcos RAT,Remcos (acronym of Remote Control & Surveillance Software) is a Remote Access Software used to remot,2022-10-02T11:03:36.202000
tcp,43.134.120.219,799,175.103.46.158,56946,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,20.212.31.164,443,175.103.46.158,52455,IN.bound,established,,speedtest.c,US,AS8075 microsoft corporation,,,
tcp,43.134.120.219,799,175.103.46.158,55100,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,48902,157.240.211.61,443,OUT.bound,established,,speedtest.c,HK,AS32934 facebook  inc.,,,
udp,175.103.46.158,64928,36.86.63.182,3544,OUT.bound,,,speedtest.c,,,,,
tcp,43.133.45.194,799,175.103.46.158,40092,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
udp,175.103.46.158,57475,74.125.130.113,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,,,
tcp,175.103.46.158,64505,74.125.200.188,5228,OUT.bound,established,,,US,AS15169 google llc,LCIA:HoneyNet:2023,pulled from router,2023-07-23T12:04:51.473000
tcp,175.103.46.158,53662,34.143.146.137,5938,OUT.bound,established,,speedtest.c,US,AS396982 google,,,
tcp,175.103.46.158,34130,157.240.199.61,443,OUT.bound,established,,speedtest.c,HK,AS32934 facebook  inc.,,,
udp,172.217.194.95,443,175.103.46.158,60849,IN.bound,,,speedtest.c,US,AS15169 google llc,,,
tcp,74.125.130.95,443,175.103.46.158,51261,IN.bound,last-ack,,speedtest.c,US,AS15169 google llc,,,
tcp,74.125.130.95,443,175.103.46.158,51264,IN.bound,last-ack,,speedtest.c,US,AS15169 google llc,,,
tcp,103.66.70.62,80,175.103.46.158,62436,IN.bound,established,,speedtest.c,ID,AS133840 pt jala lintas media,,,
tcp,43.133.45.194,799,175.103.46.158,39788,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,53102,20.198.119.143,443,OUT.bound,established,,,IN,AS8075 microsoft corporation,,,
tcp,43.128.74.37,799,175.103.46.158,44678,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,55926,141.95.99.59,443,OUT.bound,established,,speedtest.c,FR,AS16276 ovh sas,,,
tcp,175.103.46.158,63037,36.67.189.250,443,OUT.bound,established,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
tcp,101.32.248.90,799,175.103.46.158,47086,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,50337,118.98.113.145,80,OUT.bound,syn-sent,,,ID,AS7713 pt telekomunikasi indonesia,,,
tcp,175.103.46.158,32986,157.240.211.61,443,OUT.bound,established,,speedtest.c,HK,AS32934 facebook  inc.,,,
tcp,31.13.68.61,443,175.103.46.158,47776,IN.bound,established,,speedtest.c,SG,AS32934 facebook  inc.,,,
udp,175.103.46.158,59499,216.239.38.120,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,Remcos RAT,Remcos (acronym of Remote Control & Surveillance Software) is a Remote Access Software used to remot,2022-10-02T11:03:36.202000
tcp,103.107.199.6,80,175.103.46.158,50269,IN.bound,established,,,SG,AS137409 gsl networks pty ltd,,,
tcp,175.103.46.158,48930,157.240.211.61,443,OUT.bound,established,,speedtest.c,HK,AS32934 facebook  inc.,,,
tcp,175.103.46.158,33560,157.240.211.61,443,OUT.bound,established,,speedtest.c,HK,AS32934 facebook  inc.,,,
tcp,175.103.46.158,56454,157.240.199.61,443,OUT.bound,established,,speedtest.c,HK,AS32934 facebook  inc.,,,
udp,175.103.46.158,54552,36.86.63.182,3544,OUT.bound,,,speedtest.c,,,,,
tcp,103.66.70.62,80,175.103.46.158,60394,IN.bound,established,,speedtest.c,ID,AS133840 pt jala lintas media,,,
tcp,175.103.46.158,60399,103.66.70.62,80,OUT.bound,established,,speedtest.c,ID,AS133840 pt jala lintas media,,,
tcp,175.103.46.158,40120,43.133.45.194,799,OUT.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,43.134.120.219,799,175.103.46.158,56396,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,58082,142.250.190.3,443,OUT.bound,time-wait,,speedtest.c,US,AS15169 google llc,,,
tcp,43.134.53.107,799,175.103.46.158,46568,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,3.33.193.183,443,175.103.46.158,58429,IN.bound,established,,speedtest.c,US,AS16509 amazon.com inc,,,
tcp,175.103.46.158,52153,20.198.118.190,443,OUT.bound,established,,speedtest.c,IN,AS8075 microsoft corporation,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000
tcp,43.134.53.107,799,175.103.46.158,45618,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,54232,157.240.217.60,443,OUT.bound,established,,speedtest.c,SG,AS32934 facebook  inc.,,,
tcp,157.240.13.54,443,175.103.46.158,64499,IN.bound,established,,speedtest.c,SG,AS32934 facebook  inc.,,,
tcp,175.103.46.158,53604,36.86.63.182,443,OUT.bound,syn-sent,,,,,,,
tcp,74.125.130.95,443,175.103.46.158,51265,IN.bound,last-ack,,speedtest.c,US,AS15169 google llc,,,
tcp,175.103.46.158,35188,74.125.130.101,443,OUT.bound,time-wait,,speedtest.c,US,AS15169 google llc,,,
tcp,175.103.46.158,53040,157.240.7.54,443,OUT.bound,established,,speedtest.c,SG,AS32934 facebook  inc.,,,
tcp,175.103.46.158,35824,157.240.211.61,443,OUT.bound,established,,speedtest.c,HK,AS32934 facebook  inc.,,,
tcp,175.103.46.158,49451,194.138.240.119,443,OUT.bound,established,,speedtest.c,DE,AS9890 atos information technology,,,
tcp,43.133.45.194,799,175.103.46.158,38858,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,52419,20.198.118.190,443,OUT.bound,established,,speedtest.c,IN,AS8075 microsoft corporation,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000
tcp,43.134.53.107,799,175.103.46.158,46734,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,48437,34.81.162.5,5938,OUT.bound,established,,speedtest.c,TW,AS396982 google,,,
tcp,43.128.74.37,799,175.103.46.158,44096,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,101.32.248.90,799,175.103.46.158,47232,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,43.133.45.194,799,175.103.46.158,39284,IN.bound,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,143.198.82.32,9000,175.103.46.158,40682,IN.bound,established,,,SG,AS14061 digitalocean  llc,,,
