protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
tcp,185.224.128.184,15391,122.144.6.228,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,17577,122.144.6.224,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,5831,122.144.6.229,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,30189,122.144.6.229,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,49.235.237.222,33038,122.144.6.230,22,IN.bound,established,,,CN,AS45090 shenzhen tencent computer systems company limited,Webscanners 2018-02-09  thru current day,Automated detection of webscanners based on 404,2023-11-28 01:35:07.485
udp,96.44.142.190,5104,122.144.6.228,5060,IN.bound,,,,US,AS8100 quadranet enterprises llc,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 22:59:55.478
udp,149.12.246.2,55137,122.144.6.229,5060,IN.bound,,,,US,AS174 cogent communications,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 22:59:55.478
tcp,185.224.128.184,15045,122.144.6.230,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,21045,122.144.6.231,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,16731,122.144.6.231,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,18357,122.144.6.227,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,15149,122.144.6.226,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,7123,122.144.6.227,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
udp,96.44.142.190,5104,122.144.6.230,5060,IN.bound,,,,US,AS8100 quadranet enterprises llc,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 22:59:55.478
tcp,49.235.237.222,58822,122.144.6.230,22,IN.bound,established,,,CN,AS45090 shenzhen tencent computer systems company limited,Webscanners 2018-02-09  thru current day,Automated detection of webscanners based on 404,2023-11-28 01:35:07.485
udp,96.44.142.190,5104,122.144.6.229,5060,IN.bound,,,,US,AS8100 quadranet enterprises llc,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 22:59:55.478
tcp,185.224.128.184,1841,122.144.6.227,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,49.235.237.222,54760,122.144.6.230,22,IN.bound,established,,,CN,AS45090 shenzhen tencent computer systems company limited,Webscanners 2018-02-09  thru current day,Automated detection of webscanners based on 404,2023-11-28 01:35:07.485
udp,96.44.142.190,5104,122.144.6.227,5060,IN.bound,,,,US,AS8100 quadranet enterprises llc,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 22:59:55.478
tcp,185.224.128.184,32553,122.144.6.230,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
udp,96.44.142.190,5104,122.144.6.226,5060,IN.bound,,,,US,AS8100 quadranet enterprises llc,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 22:59:55.478
tcp,185.224.128.184,973,122.144.6.228,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
udp,72.251.232.180,5122,122.144.6.225,5060,IN.bound,,,,US,AS29791 internap holding llc,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:35:07.483
tcp,185.224.128.184,5211,103.136.6.162,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,327,122.144.6.229,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
udp,96.44.142.14,5169,122.144.6.225,5060,IN.bound,,,,US,AS8100 quadranet enterprises llc,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 22:59:55.478
udp,96.44.143.190,5067,103.136.6.162,5060,IN.bound,,,,US,AS8100 quadranet enterprises llc,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 22:59:55.478
tcp,185.224.128.184,2875,122.144.6.224,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,49.235.237.222,52792,122.144.6.230,22,IN.bound,established,,,CN,AS45090 shenzhen tencent computer systems company limited,Webscanners 2018-02-09  thru current day,Automated detection of webscanners based on 404,2023-11-28 01:35:07.485
tcp,185.224.128.184,15289,122.144.6.225,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,49.235.237.222,51476,122.144.6.230,22,IN.bound,established,,,CN,AS45090 shenzhen tencent computer systems company limited,Webscanners 2018-02-09  thru current day,Automated detection of webscanners based on 404,2023-11-28 01:35:07.485
udp,72.251.232.180,5122,122.144.6.228,5060,IN.bound,,,,US,AS29791 internap holding llc,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:35:07.483
udp,72.251.232.180,5122,122.144.6.229,5060,IN.bound,,,,US,AS29791 internap holding llc,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:35:07.483
