protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow
tcp,203.123.56.246,55470.0,23.56.239.194,443.0,close,,,OUT.bound
tcp,203.123.56.246,56600.0,103.115.228.8,443.0,syn-sent,,,OUT.bound
udp,203.123.56.246,52980.0,134.119.205.15,52602.0,,,,OUT.bound
udp,146.196.110.84,48200.0,8.8.8.8,53.0,,,,OUT.bound
tcp,203.123.56.246,55438.0,40.126.7.35,443.0,time-wait,,,OUT.bound
udp,203.123.56.246,41094.0,122.144.1.1,53.0,,,,OUT.bound
udp,203.123.56.246,32836.0,8.8.4.4,53.0,,,,OUT.bound
tcp,203.123.56.246,59731.0,115.238.23.30,80.0,last-ack,,,OUT.bound
tcp,203.123.56.246,35288.0,34.110.200.237,443.0,established,,,OUT.bound
tcp,203.123.56.246,41522.0,47.235.21.35,443.0,established,,,OUT.bound
tcp,203.123.56.246,43988.0,172.253.118.95,443.0,established,,,OUT.bound
tcp,203.123.56.246,59603.0,74.125.24.105,443.0,established,,,OUT.bound
tcp,203.123.56.246,62659.0,157.240.208.35,443.0,established,,,OUT.bound
tcp,203.123.56.246,36898.0,163.70.153.175,443.0,established,,,OUT.bound
tcp,203.123.56.246,39436.0,45.121.219.179,443.0,established,,,OUT.bound
tcp,203.123.56.246,44150.0,163.181.100.239,443.0,close,,,OUT.bound
tcp,203.123.56.246,35550.0,23.215.35.69,443.0,established,,,OUT.bound
udp,203.123.56.246,52096.0,142.251.175.95,443.0,,,,OUT.bound
tcp,203.123.56.246,33464.0,142.250.4.188,5228.0,established,,,OUT.bound
udp,203.123.56.246,54630.0,34.117.97.41,443.0,,,,OUT.bound
tcp,203.123.56.246,38302.0,74.125.200.94,443.0,established,,,OUT.bound
udp,203.123.56.246,59834.0,8.8.4.4,53.0,,,,OUT.bound
tcp,203.123.56.246,60596.0,40.126.35.145,443.0,time-wait,,,OUT.bound
tcp,203.123.56.246,34748.0,142.251.12.95,443.0,established,,,OUT.bound
udp,146.196.110.84,56322.0,8.8.8.8,53.0,,,,OUT.bound
tcp,203.123.56.246,47058.0,157.240.208.35,443.0,established,,,OUT.bound
udp,203.123.56.246,44901.0,8.8.4.4,53.0,,,,OUT.bound
udp,10.180.80.75,5678.0,255.255.255.255,5678.0,,,,broadcast
tcp,203.123.56.246,58718.0,163.70.153.21,443.0,established,,,OUT.bound
tcp,203.123.56.246,35439.0,115.238.23.22,80.0,syn-sent,,,OUT.bound
tcp,203.123.56.246,55429.0,23.56.239.194,443.0,close,,,OUT.bound
udp,203.123.56.246,38229.0,122.144.1.1,53.0,,,,OUT.bound
udp,203.123.56.246,45971.0,203.161.21.168,443.0,,,,OUT.bound
tcp,203.123.56.246,63321.0,172.64.162.9,443.0,time-wait,,,OUT.bound
tcp,203.123.56.246,62686.0,157.240.208.63,443.0,established,,,OUT.bound
udp,203.123.56.246,51030.0,172.217.194.95,443.0,,,,OUT.bound
tcp,203.123.56.246,50635.0,185.82.216.62,443.0,established,,,OUT.bound
tcp,163.70.153.60,443.0,203.123.56.246,49314.0,established,,,IN.bound
tcp,203.123.56.246,55439.0,23.50.117.200,443.0,established,,,OUT.bound
tcp,203.123.56.246,56268.0,190.2.153.208,40001.0,established,,,OUT.bound
tcp,142.251.175.188,5228.0,203.123.56.246,49768.0,established,,,IN.bound
tcp,203.123.56.246,63301.0,157.240.208.35,443.0,close,,,OUT.bound
udp,146.196.110.84,35252.0,122.144.2.2,53.0,,,,OUT.bound
udp,203.123.56.246,44300.0,8.8.4.4,53.0,,,,OUT.bound
tcp,203.123.56.246,49175.0,81.169.159.28,29001.0,established,,,OUT.bound
tcp,203.123.56.246,62683.0,109.200.199.110,443.0,established,,,OUT.bound
udp,203.123.56.246,47751.0,34.117.97.41,443.0,,,,OUT.bound
tcp,203.123.56.246,55435.0,23.56.239.160,443.0,established,,,OUT.bound
tcp,190.2.153.231,40001.0,203.123.56.246,57195.0,established,,,IN.bound
tcp,203.123.56.246,47036.0,163.70.153.61,80.0,established,,,OUT.bound
tcp,123.56.178.100,38445.0,203.123.56.247,6379.0,syn-sent,,,IN.bound
tcp,203.123.56.246,38644.0,142.251.223.42,443.0,established,,,OUT.bound
tcp,203.123.56.246,48938.0,34.102.147.19,443.0,established,,,OUT.bound
tcp,203.123.56.246,51504.0,18.141.29.149,443.0,established,,,OUT.bound
tcp,203.123.56.246,57606.0,3.223.63.250,443.0,established,,,OUT.bound
udp,148.153.112.21,28418.0,203.123.56.246,51533.0,,,,IN.bound
tcp,203.123.56.246,55466.0,3.19.194.144,443.0,established,,,OUT.bound
tcp,203.123.56.246,59752.0,23.48.173.19,443.0,established,,,OUT.bound
tcp,203.123.56.246,61459.0,65.21.94.13,9443.0,established,,,OUT.bound
tcp,203.123.56.246,53582.0,34.107.243.93,443.0,established,,,OUT.bound
tcp,203.123.56.246,46892.0,119.13.160.161,443.0,established,,,OUT.bound
tcp,203.123.56.246,60590.0,134.119.183.59,80.0,time-wait,,,OUT.bound
tcp,203.123.56.246,57916.0,47.246.167.99,443.0,time-wait,,,OUT.bound
tcp,203.123.56.246,58460.0,2.59.169.86,80.0,established,,,OUT.bound
udp,203.123.56.246,43919.0,74.125.130.102,443.0,,,,OUT.bound
tcp,203.123.56.246,59467.0,8.222.192.32,6800.0,established,,,OUT.bound
udp,203.123.56.246,56222.0,157.240.15.13,443.0,,,,OUT.bound
tcp,203.123.56.246,43348.0,130.44.212.234,443.0,time-wait,,,OUT.bound
tcp,203.123.56.246,63411.0,40.126.35.134,443.0,time-wait,,,OUT.bound
tcp,203.123.56.246,59394.0,74.125.24.149,443.0,established,,,OUT.bound
udp,203.123.56.246,38861.0,34.110.200.237,443.0,,,,OUT.bound
tcp,203.123.56.246,41928.0,74.125.130.147,443.0,established,,,OUT.bound
tcp,190.2.153.202,40001.0,203.123.56.246,58261.0,established,,,IN.bound
udp,203.123.56.246,60541.0,23.214.169.164,443.0,,,,OUT.bound
udp,203.123.56.246,38077.0,8.8.4.4,53.0,,,,OUT.bound
udp,203.123.56.246,50632.0,203.161.21.168,443.0,,,,OUT.bound
tcp,203.123.56.246,50232.0,185.199.108.133,443.0,established,,,OUT.bound
tcp,203.123.56.246,60447.0,20.198.118.190,443.0,established,,,OUT.bound
udp,203.123.56.246,60031.0,216.239.36.158,443.0,,,,OUT.bound
tcp,203.123.56.246,36550.0,157.240.208.3,443.0,established,,,OUT.bound
tcp,203.123.56.246,58452.0,2.59.169.86,80.0,time-wait,,,OUT.bound
tcp,203.123.56.246,59586.0,74.125.130.101,443.0,established,,,OUT.bound
tcp,203.123.56.246,54143.0,46.105.57.169,993.0,established,,,OUT.bound
tcp,203.123.56.246,57906.0,163.70.153.34,443.0,established,,,OUT.bound
tcp,203.123.56.246,49398.0,34.107.243.93,443.0,established,,,OUT.bound
udp,203.123.56.246,13231.0,175.103.36.115,13231.0,,,,OUT.bound
udp,203.123.56.246,54463.0,34.101.5.35,443.0,,,,OUT.bound
tcp,203.123.56.246,60620.0,18.161.180.109,443.0,time-wait,,,OUT.bound
tcp,203.123.56.246,50632.0,185.82.216.62,443.0,close,,,OUT.bound
tcp,203.123.56.246,63313.0,134.119.183.59,80.0,established,,,OUT.bound
tcp,203.123.56.246,48248.0,74.125.130.139,443.0,established,,,OUT.bound
udp,203.123.56.246,49787.0,157.240.13.19,443.0,,,,OUT.bound
udp,203.123.56.246,37421.0,74.125.24.95,443.0,,,,OUT.bound
udp,203.123.56.246,43795.0,122.144.1.1,53.0,,,,OUT.bound
tcp,203.123.56.246,58512.0,13.250.227.204,8084.0,established,,,OUT.bound
udp,203.123.56.246,39703.0,122.144.2.205,443.0,,,,OUT.bound
tcp,203.123.56.246,60623.0,185.82.216.108,443.0,established,,,OUT.bound
tcp,203.123.56.246,55458.0,172.253.118.95,443.0,established,,,OUT.bound
udp,203.123.56.246,40836.0,142.251.175.119,443.0,,,,OUT.bound
udp,203.123.56.246,43279.0,34.149.173.23,443.0,,,,OUT.bound
udp,146.196.110.84,35616.0,122.144.2.2,53.0,,,,OUT.bound
gre,203.123.56.246,,140.0.23.161,,,,,OUT.bound
tcp,203.123.56.246,53934.0,210.210.145.138,443.0,established,,,OUT.bound
udp,203.123.56.246,33147.0,8.8.4.4,53.0,,,,OUT.bound
tcp,203.123.56.246,50242.0,104.21.23.184,443.0,established,,,OUT.bound
udp,146.196.110.84,49029.0,10.79.16.9,1812.0,,,,local
tcp,205.185.124.189,8443.0,203.123.56.246,49170.0,established,,,IN.bound
udp,203.123.56.246,37338.0,210.210.145.136,443.0,,,,OUT.bound
udp,203.123.56.246,42754.0,34.117.97.41,443.0,,,,OUT.bound
tcp,203.123.56.246,55469.0,23.56.239.194,443.0,close,,,OUT.bound
udp,203.123.56.246,51772.0,142.251.12.95,443.0,,,,OUT.bound
tcp,203.123.56.246,56602.0,103.115.228.8,443.0,syn-sent,,,OUT.bound
tcp,203.123.56.246,36494.0,74.125.130.94,443.0,established,,,OUT.bound
udp,203.123.56.246,36420.0,34.117.97.41,443.0,,,,OUT.bound
tcp,203.123.56.246,49740.0,20.198.119.143,443.0,established,,,OUT.bound
tcp,203.123.56.246,34580.0,47.254.156.191,443.0,established,,,OUT.bound
tcp,203.123.56.246,39142.0,172.253.118.94,80.0,established,,,OUT.bound
tcp,203.123.56.246,60272.0,134.119.183.59,80.0,established,,,OUT.bound
tcp,203.123.56.246,58360.0,134.119.183.60,80.0,established,,,OUT.bound
tcp,203.123.56.246,56979.0,157.240.208.35,443.0,established,,,OUT.bound
icmp,18.183.10.245,,203.123.56.245,,,,,IN.bound
tcp,203.123.56.246,63389.0,40.126.35.134,443.0,time-wait,,,OUT.bound
udp,203.123.56.246,40381.0,118.98.116.17,443.0,,,,OUT.bound
