session,protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
2023-11-29_10-24-55,udp,146.196.111.218,40636,122.144.3.6,514,OUT.bound,,,,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-29_10-24-55,tcp,175.103.43.90,58749,146.196.111.218,8278,IN.bound,time-wait,,speedtest.c,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-29_10-24-55,icmp,23.109.14.129,,175.103.46.158,,IN.bound,,,speedtest.c,NL,ASNone ,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58989,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,icmp,23.109.14.131,,175.103.46.158,,IN.bound,,,speedtest.c,NL,ASNone ,,,
2023-11-29_10-24-55,udp,146.196.111.218,52598,10.79.16.9,1812,local,,,speedtest.c,,,,,
2023-11-29_10-24-55,udp,146.196.111.218,49927,10.79.16.9,1813,local,,,speedtest.c,,,,,
2023-11-29_10-24-55,udp,175.103.46.158,62804,216.239.38.120,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,Remcos RAT,Remcos (acronym of Remote Control & Surveillance Software) is a Remote Access Software used to remot,2022-10-02T11:03:36.202000
2023-11-29_10-24-55,icmp,23.109.14.128,,175.103.46.158,,IN.bound,,,speedtest.c,NL,ASNone ,,,
2023-11-29_10-24-55,udp,146.196.111.218,58852,10.79.16.9,1813,local,,,speedtest.c,,,,,
2023-11-29_10-24-55,tcp,175.103.46.158,49032,108.138.141.117,443,OUT.bound,time-wait,,speedtest.c,US,AS16509 amazon.com inc,,,
2023-11-29_10-24-55,tcp,175.103.46.158,59054,118.97.79.198,443,OUT.bound,established,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,38810,143.42.76.52,4001,OUT.bound,syn-sent,,,US,ASNone ,,,
2023-11-29_10-24-55,tcp,175.103.46.158,59031,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,60269,184.25.236.203,443,OUT.bound,syn-sent,,,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,udp,10.20.30.91,38304,255.255.255.255,10002,broadcast,,,speedtest.c,,,,,
2023-11-29_10-24-55,tcp,175.103.46.158,60262,184.25.236.203,443,OUT.bound,last-ack,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,118.123.105.93,34135,175.103.46.159,10909,IN.bound,syn-sent,,,CN,AS38283 chinanet sichuan telecom internet data center,ETIC Cybersecurity 2023-11-29 Port Scan,,2023-11-29T03:19:09.001000
2023-11-29_10-24-55,tcp,175.103.46.158,59106,118.97.79.198,443,OUT.bound,established,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,59078,118.97.79.198,443,OUT.bound,fin-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,udp,175.103.46.158,51444,74.125.68.95,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,tcp,175.103.46.158,59134,118.97.79.198,443,OUT.bound,syn-sent,,,ID,AS7713 pt telekomunikasi indonesia,,,
